GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-project,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonFactory,14,3,0,0,1,1,1,1,1,1
java-project,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
java-project,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,65,0,8,0,12,0,6,0,2
java-project,fr.univavignon.pokedex.api,PokedexImplement,44,118,7,3,13,27,6,9,2,8
java-project,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
java-project,fr.univavignon.pokedex.api,PokemonTrainerFactory,17,0,0,0,3,0,2,0,2,0
java-project,fr.univavignon.pokedex.api,PokedexFactory,0,17,0,4,0,4,0,4,0,2
java-project,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
java-project,fr.univavignon.pokedex.api,PokemonComparators,6,35,0,0,1,7,1,2,1,2
java-project,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
